LINE,X
10010,601794.793
10010,601794.569
10010,601794.345
10010,601794.12
10010,601793.896
10010,601793.672
10010,601793.447
10010,601793.223
10010,601792.999
10010,601792.774
10010,601792.55
10010,601792.296
10010,601792.041
10010,601791.787
10010,601791.532
10010,601791.278
10010,601791.023
10010,601790.769
10010,601790.514
10010,601790.26
10010,601790.005
10010,601789.678
10010,601789.351
10010,601789.024
10010,601788.697
10010,601788.37
10010,601788.043
10010,601787.716
10010,601787.389
10010,601787.062
10010,601786.736
10010,601786.298
10010,601785.86
10010,601785.422
10010,601784.984
10010,601784.546
10010,601784.108
10010,601783.67
10010,601783.232
10010,601782.794
10010,601782.356
10010,601781.79
10010,601781.225
10010,601780.659
10010,601780.094
10010,601779.529
10010,601778.963
10010,601778.398
10010,601777.833
10010,601777.267
10010,601776.702
10010,601776.023
10010,601775.343
10010,601774.664
10010,601773.985
10010,601773.306
10010,601772.627
10010,601771.947
10010,601771.268
10010,601770.589
10010,601769.91
10010,601769.153
10010,601768.396
10010,601767.639
10010,601766.882
10010,601766.125
10010,601765.368
10010,601764.611
10010,601763.854
10010,601763.097
10010,601762.34
10010,601761.555
10010,601760.77
10010,601759.985
10010,601759.2
10010,601758.415
10010,601757.63
10010,601756.845
10010,601756.059
10010,601755.274
10010,601754.489
10010,601753.707
10010,601752.924
10010,601752.142
10010,601751.359
10010,601750.577
10010,601749.794
10010,601749.012
10010,601748.229
10010,601747.447
10010,601746.664
10010,601745.888
10010,601745.112
10010,601744.337
10010,601743.561
10010,601742.785
10010,601742.009
10010,601741.233
10010,601740.457
10010,601739.681
